Review,Rating,Aspek
mantul,5,rasa
pesanan2 muas tq,5,rasa
paket cepet banget kemas rapi imut kotak moga enak biar sen sukses toko ya,5,pelayanan
teri nya gurih,5,rasa
enak sekalipada kirim tdk terima tdk kirim,5,rasa
teri kacang balado udah terima dg,4,kualitas
enak manis pedas teri dibanyakin,5,rasa
sesuai pesan moga2 gak pedas,5,pengiriman
terimakasih seller fast responnya,5,pelayanan
jujur gamau ngasih bintang jelek kirim ga bilang kalo barang kosong tiba2 sampe kasih tulis bakso cuanki kosong oke sy makluminterus admin bilang kirim jumat oke sy tunggu udah minggu ga kabar tanyain kirim esok hari eh bener aja sampe ga kirim bener udah bilang bakso cuanki nya ambil aja mba makan aja,1,pelayanan
barang pesan terima bungkus rapi sesuai pesan terima kasih,5,pelayanan
sih ngirimnya,4,pengiriman
terima kasih pesan terima,5,pengiriman
enakkknamanya po jd,5,rasa
b aja bakso cuangki juara lebak bulus,3,rasa
respon jual cepat harga pas packing aman rapih cuankie enak,5,pelayanan
enak,5,rasa
respon cepat kirim cepat lebih biar bintang yg berbicaratq bosque,5,pelayanan
enk bakso layan nya mantul n sdh belanja yg 3 x tinggal nunggu bns tmbhan ni klk belanja lgwkwkwkw,5,rasa
order layan kirim produk,5,pelayanan
it s all good keep up the good job,5,pelayanan
enak,5,rasa
enak ,5,rasa
product sesuai packing kirim,5,pelayanan
langgan tau kwalitas ,5,kualitas
udah langgan d bakso enak kirim jg cepat,5,rasa
makananya enak,5,rasa
lezzattoooo ,5,rasa
suka bgt fast response kirimanya yg express pizza jg enakk,5,pelayanan
enaaakk pesan bayar jelang jam9 jam11 pesan jarak 11km,5,rasa
direspon cepat terima  pizza nya wangi cocok tasty  campur cheese  roti imbang,5,pelayanan
enak pake banget,5,rasa
enak banget cheesenya tiramisu nya jg enak very very delicious,5,rasa
salah kirim ya lgs susul pizza double terima kasih  ya pizza nya enak,5,rasa
enak banget,5,rasa
enak bgt,5,rasa
pesan terima sesuai deskripsi terima kasih ya moga sukses aamiin,5,pelayanan
respon cpt yg kirimsukak,5,pelayanan
pesan terima sesuai deskripsi terima kasih ya moga sukses aamiin,5,pelayanan
makan pake salad sayur enak,5,rasa
pesan terima sesuai deskripsienak terima kasih ya moga sukses aamiin,5,pelayanan
enak banget,5,rasa
terima nya kurangbagus,4,kualitas
salmon mentai momomaru emang pas mentainya enak pas ga bikin eneg,5,rasa
puas udah repeat order gatau brp kali puedes sambelnya jos kulit bener2 tipis the best ,5,rasa
jujur enak beli ngga pinpoint lumayan dr segi sambal yg lumayan nendang pedas,4,rasa
enak coipan n sambal mantap,5,rasa
coipannya enak next order lg,4,rasa
enak beneran enak banget kulit tipis bawang putih sambelnya pedes mantapp,5,rasa
recommended product one of the best choipans pesan online seller ramah komunikatif,5,rasa
kirim cepat jual ramah  komunikatif kulit choipannya tipis sambal mantap gak pelit ,5,pengiriman
mantap choipan ny enakk,5,rasa
enak krenyes2 sambal mantap,5,rasa
enak bangettttt kulit tipis isi  cucok buka puasa akuu hihihih thankyou sis,5,rasa
kirim cepet hati antar lom coba sih,5,pengiriman
enaaak,5,rasa
saladnya segar enak admin fast response salah kirim  puas beli salad,5,pelayanan
enak cm kali kentang rada keras,5,rasa
enak kirim cepat,5,rasa
enakkkkk,5,rasa
enak banget,5,rasa
enak,5,rasa
enaaakkk,5,rasa
cepat banget pesan menit yg ikut flash sale eh udah,5,pengiriman
enaak fresh,5,kualitas
enaak,5,rasa
beli 2 kalinyarecommended salad rollrecommended seller,5,kualitas
suka rasany,3,rasa
kirim cepet banget estimasi 2 jam ga jam udah sampe fresh,5,pengiriman
saladnya segar porsi toppingnya enak,5,kualitas
uuweeennaaakkk,5,rasa
saladnya cantik rnak mesan cepat direspon cepat utk uk sameday langgan pasti,5,rasa
fresh  kasih bonus tomat ceri terima kasih,5,kualitas
salad sayur murah 50rbu dpet 3 isi cuman sayur topping kn bsa bebas nambahin sndiri pke iris ikan tuna daging dll saosnya enak,5,rasa
saladnya mantap,5,rasa
fast responbrg freshpuas blnj d dpt bonus tomat kali inisukses gan,5,pelayanan
ya ampuuun enak banget sayur fresh cepat kirim harga sahabat bonus lagibakal langgan nih ,5,rasa
fast respond n delivery tks utk free saladnya,5,pelayanan
siang order sore langsung,5,pengiriman
enakkkkk  udah habis order ah,5,rasa
pas,5,rasa
dah beli wkwkwkuntuk bikin kimchee jigae gado yummmm,5,rasa
kimchi nya enak,5,rasa
langgan,5,kualitas
sesuai kirim cepat,5,pelayanan
sy sangt puas dg psanan kimchi nya  sangt enak  mantap kemas bagus rapi dn dtg wkt kurir nya sopan,5,pelayanan
packing rapih produk ok,5,pelayanan
barang sdh terima terima kasih,5,pengiriman
layan bagus,5,pelayanan
kimchinya wangi banget pesan besok langsung langsung buka icip sesuai request  jual ramah tingkat pedas asam kimchi nya packing super rapi double bubble wrap thanks sist ,5,rasa
kimchi nya ok banget thanks gan,5,rasa
kimchi nya enak banget harga gin dpt worth it kimchi juicenya cocok nasi goreng kimchi jiggae so yummyyyyy repeat order deh kalo uda abis ,5,rasa
mantul beli 2 mantap packingnya kaga bocor moga jualanya laris manis,5,pelayanan
kimchinya enak,5,rasa
dah 2x order kimchi nya enakharga nya lumayan murah thanks,5,rasa
seller ramah kimchi nya enakkk sesuai request repeat order yg sekian kali ttp ga bosen enak kimchi yg percaya deh ga nyesel beli kimchi id,5,rasa
taste is good,5,rasa
packing rapi bgt udah cium bau2nya blm buka makasih seller,5,rasa
enak n segar,5,rasa
fresh berat pas banget buka puasa,5,kualitas
respon cepat sesuai pesan,5,pelayanan
enak  suka saladnya makasih yaa,5,rasa
enk,5,rasa
enaknyaaa,5,rasa
enak bangeeeet ,5,rasa
enak bgt fresh,5,rasa
cuman 1harang dtg,5,pengiriman
kimchi nya nya enak bangetterutama yg lobak nyapkknya emang beda rasa kirim jg cepat banget nyapengemasan jg rapih amandi pakein toples pula,5,rasa
enyakkkk,5,rasa
kimchinya sdh fresh,4,kualitas
sesuai deskripsi manis,5,rasa
manisbeda kimchi korea,1,rasa
kimchinya asam pedas,3,rasa
mantab ,5,kualitas
nya muas gurih pedas kilas manis tinggal asam nya tambah sengaja beli fresh atur kadar asam nya enak sayur segar crunchy beli kimchi sehat banget makan probiotik alami,5,rasa
enak,5,rasa
kirim cepat pake instant no drama buka aroma kayak basi gitu pas makan baik aja sih order kali konsisten,4,pelayanan
enak saladnya  kirim cepat rapi bungkus,5,pelayanan
saladnya enak dressingnya suka,4,rasa
coba beli promo enak kenyang potong salad wrap kulit tortilla beneran bikin kenyang isi padat kaya tekstur buka puasa cocok banget dressing-nya honey mustard dominan asam prefer manis sih kemas dressing sauce lapis plastik ngga tumpah,5,rasa
enak,5,rasa
sdh beli yg 3 kalienakbahannyasegarpenampilan cantik,5,rasa
fast response cantik bgt tampil enak bli d,5,rasa
terima kasih pak bu emas rapi kirim cepat layan muas mantappp -,5,pelayanan
favorit banget ukur makan ga udah beli kalo flash sale hehe terima kasih serasa diskon ya hehee,5,rasa
langgan tq kakak seller,5,kualitas
udah beli 2 kali mantappp enakk,5,rasa
enak bgt gaboong trus taste nya ramah lidah orang indo tp kyanya fermentasi klamaan jd sensasi lidah gtu overall kimchi enak si,5,rasa
respon cepat kimchinya enaaak,5,pelayanan
enak banget sdh ky makan resto korea,5,rasa
enak bangetttt cepet ntaps,5,rasa
enak the best kimchinya,5,rasa
nyoba kimchinya enak seger banget asemnya pas temen makan ramyeon ,5,rasa
kimchi pa salah favorit varian timun  sawi udah kali order  enak makan dgn jajang ramyeon bbq,5,rasa
enakbakal langgan teus,5,rasa
sukaa bgt udah kali pesan ga kecewa  sayang mesan kena zonk jasa kirim barang jalan,5,rasa
sellernya ramah kooperatif salah pilih kirim barang bagus ganti barang bayar ongkir thank you,5,pelayanan
bumbu manis kimchi bumbu bgt,1,rasa
enak sekaliii,5,rasa
kimchinya enakkkk banget kyk yg korean food resto fresh,5,rasa
kimchi enak kali cobain varian bawang fresh banget manis coba simpen 2-3 biar fermentasi dl hehe ,5,rasa
enak renyah fresh,5,rasa
kirim cepat seller responsif,5,pengiriman
enaak fresh,5,rasa
enaak,5,rasa
beli 2 kalinyarecommended salad rollrecommended seller,5,kualitas
suka rasany,3,rasa
kirim cepet banget estimasi 2 jam ga jam udah sampe fresh,5,pengiriman
saladnya segar,5,kualitas
uuweeennaaakkk,5,rasa
saladnya cantik rnak mesan cepat direspon cepat utk uk sameday langgan pasti,5,pelayanan
blm makan kimchi asli korea yg ramah lidah d kirim cepat,5,rasa
anak bs makan krn tdk asam pedas,5,rasa
seller fast response ramah kimchi nya enak banget fresh recommended seller,5,pelayanan
enaakkkk  langsung order jual responsif,5,rasa
dah langgan konsisten,5,rasa
yummyyy,5,rasa
mantab,5,rasa
mantap bintang 5,5,rasa
istri suka fresh tingkat asam atur sesuai selera,5,kualitas
good kurang bbrp barang kering basah campur kantong hitam trus kantong hitam nya tipis,4,kualitas
barang rmh dingin2 mantul ,5,kualitas
sellernya ajak gercep urgent exp thanks kak,5,pelayanan
cepet banget kirim sen siang sore uda sampe the best,5,pengiriman
proses cepatthx,5,pengiriman
maaf ksi tw  barang kmren smpai mantep barang cpet smpai lau gx cpet smpaitkut nya rusak  good bgt langsung older langsung proses,5,pengiriman
kirim cepat,5,pengiriman
lobak asin nya sesuai terimakasih sukses ya,5,rasa
produk bagus,5,kualitas
layan kakak baik god bless ya kak,5,pelayanan
kirim cepat,5,pengiriman
barang ok  servicenya expresstq,5,pelayanan
puas srkalimemang gak sampaitapi kemarin kasih ulasankurir ramah terima kasih toko dia,5,rasa
cepat mantappppp,5,pengiriman
cepat mantappppp,5,pengiriman
bagus harga terjangkaukurir ramah,5,kualitas
cepat mantappppp,5,pelayanan
freshh enak asam pas tp pahit,4,kualitas
packing nya rapih bgt sumpah  sayang dikit bgt muehehehehehe,5,pelayanan
enaaak banget  asem nya  pedesnyaa,5,rasa
proses kirim cepet ga pake lamaa kimchi nya enakkk loh rekomended mayan promo thanks,5,pelayanan
enak banget mantappp,5,rasa
respon cepat kemas rapi mantap coba klo cocok langgan beli nih,5,pelayanan
udh 3x beli koto kimchi kimchi enak yg beli seger bgt cabbage nya renyah bgt,5,rasa
barang sesuai pesan kirim cepat aman thanks seller ,5,pelayanan
packagingnya pakai dus wrap rapih banget,5,pelayanan
enakk bgt,5,rasa
brg sesuai deskripsi kualitas bgs respon cepat n packaging rapi recommended ,5,pelayanan
barang bagus proses cepat,5,kualitas
kimchinya enaak udah order lain enak huhuuuu,5,rasa
tasty,5,rasa
enak segar jual ramah makasih ,5,rasa
repeat order suka kimchi nya asam pedas pas volume,5,rasa
kemas rapih biarpun bocor rembes,5,pelayanan
kirim yg sekian x cepat ya reseler jg okeh sayang yg kirim 3 bocor sesuai foto yg kirim so far okeh,5,pelayanan
asem cukapadahal sdh kulkas 7,4,rasa
kimchi ter fresh ku makan enak banget asa manis manissayang packagingnya turut karna ku bagi 2 toples 400gr sampa rumah toplesnya gembung jd susah buka buka ledak karna jalan si kimchi guncang panas jd ku hilang bumbu lumayan banyakhehehe,5,kualitas
proses kirim cepat,5,pengiriman
beneran enak,5,rasa
kirim cepat produk oke terimakasih,5,pengiriman
enaaak bgt sayang 400gr dosis nyiahahha,5,rasa
order kali fresh kimchinya blm asem order mah ,5,rasa
packagingnya aman plastik toples  karna ngembang jd susah banged buka toplesnya wkwkw  c kimchi enak ,5,pelayanan
kimchi nya enak udah kali beli beli 700 gram dapetnya 662 gram udah kemas,1,rasa
respon seller cepat beli 2 kali gak kecewa terima kasih banyak,5,pelayanan
puas barang sesuai,5,kualitas
cepat packing aman produk mantap,5,pelayanan
produk bagus,5,kualitas
barang ok  servicenya super expresstq,5,pelayanan
packing rapih kirim cepatsemoga reordermakasih seller ,5,pengiriman
kirim cepat,5,pengiriman
enak recommended sellertopnext order deh terimakasih ,5,rasa
okeyyy,5,pelayanan
fast respone enak,5,pelayanan
mantab,5,kualitas
fast delivery good product,5,pengiriman
makan cepat dateng enak ,5,pengiriman
barang sesuai deskripsi kirim cepat trims,5,pelayanan
ga cocok masakan korea cocok masakan jepang udah nyoba makan korea ga cocok kimchinya enak asam banget,4,rasa
pesan cepet sampaipacking nya rapih bgt ,5,pengiriman
enakpengobat rindu blm korea makan kimchi homemade langgan,5,rasa
respon cepat mantap,5,pelayanan
pesan sdh terima sesuai thanks seller,5,pengiriman
sy terima nggak sy makan sdh 5 jalan takut sakit perut produk kota senin antar kamis itu email cs anteraja komplain tokopedia,3,pengiriman
barang sesuai deskripsi produk oke packaging rapih kirim cepat seller fast respons udh langgan recommended ,5,pelayanan
enaaakkk,5,rasa
produk bagus  kirim cepatthank you,5,pelayanan
thanks ,5,pelayanan
packing aman kardus trs dibubble wrap dalem wadah plastik utuh ngga yg retak hehe cm ngga bener2 nutup hehe saran mgkn isolasi lakban kimchinya bungkus plastik alhamdulillah ngga bolong ngga bocor hehe yaa kimchi seller fast respon udah berkali2 beli olshop overall puas mksh,5,pengiriman
kimchi fresh mantap,5,kualitas
mantafff,5,kualitas
kres kres enak,5,rasa
enak banget,5,rasa
pesan kimchi terima sesuai yg diorderpacking aman kirim cepatterima kasih,4,pelayanan
sukaaaaaaaaaaaaa,5,rasa
kirim super cepat sen pagi malam udh dtg tks dapursakinahku,5,pengiriman
kondisi barang terima rapi bagus kemas plastik tebal double bocor kuah tumpah basah kardusuntuk kirim kecewa sesuai maksimal tgl 14 maret 2021 terima konsumen kirim sicepat tgl 15 maret 2021 alas tgl 13 sabtu 14 minggu sicepat libur sabtu minggu hitung sistem kerja sunggung kecewa,1,pengiriman
barang cepat,5,pengiriman
enakk tp pahit,4,rasa
suka pahit,3,rasa
lontong wangi daun padat lembut enak,5,rasa
lontong lembut enak makan pakainopor,5,rasa
pesan dadak opor sisa order cepat respons enak lontong lembut terima kasih,5,rasa
lomtongnya bagus enak fresh,5,kualitas
lontong sesuai pesan enak legit sesuai espektasi tahan yaa trimakasih seller,5,rasa
harga kompetitir enak,5,rasa
produk lontong lembut mantap,5,rasa
lontong yg benyek om ga jel ga padet,3,kualitas
fast response kirim sesuai minta sayang lontong ujung lembek hancur,4,kualitas
bagus oncom nya ,5,kualitas
product sesuai tp oncom tebal paruh oncom,3,kualitas
good quality very fresh  affordable price  fast delivery on time  seller shop is very friendly and helpful  will definitely order again ,5,kualitas
isi nya admin nya cepat tanggap bantu,5,pelayanan
puas beli disiniselalu enak kirim cepet,5,pelayanan
enak bgt mexican tuna salad nyaporsi nya pas antar cepat jg yg,5,pelayanan
enak saladnya,5,rasa
terima kasih pak bu emas rapi kirim cepat layan muas mantappp -,5,pelayanan
suka salad,5,rasa
kirim cepat enak,5,pengiriman
like the dressing however it was very little for the salad s portion,4,rasa
enaaakkdressingnya ,5,rasa
toko amanah syg kurir anterajanya lambat banget ngirim paketanterajaanternya kapan2 aja,5,pengiriman
fast respon n delivery sdh langgan beli asin n ok bget,5,pelayanan
sesuai kirim cepat,5,pengiriman
enak  segar ,5,rasa
yummmmyyyyyy so fresssshhhhhsdh repeat order,5,rasa
kirim asin nya enak banget,5,pengiriman
sdh beli n rasany mantulll,5,rasa
enak fresh ingredients pas padu mangga asam lengkeng manis,5,rasa
enakkkkkkkk,5,rasa
enakkkk n sdh repeat order berkali2,5,rasa
produk bagus original sesuai pesan packing rapih kirim cepat mantaap deeeh terima kasih banyaktokopedia  seller sukses yaa amiiin,5,pelayanan
thank u gan enak,5,rasa
cream nya bnykkulit jg tebalisi durian jd sdktpengiriman joooss,4,rasa
kirim cepat sayang gratis ongkir beli 2 mahal ongkir kirim,5,pengiriman
barang sdh cepat mantaf,5,pengiriman
mantappp cepat sampe 30menit mesan,5,pengiriman
jossss bngt sen jam 3 eeeeehhh jm 7 dah nympetq,5,pengiriman
buah segar enak,5,kualitas
enak bangetttt buah harga murah mayoinase nya enak puas,5,rasa
jual ramah,5,pelayanan
jual konsisten layan yg cepat ramah packing yg kuat sturdy tampak yg cantik buah2an fresh suka pilih kewpie yogurt temu tempat tambah almond slices naik harga duh nggak bilang puas deh pokok lebih2 blueberrynya nggak kecewa so so highly recommended ,5,pelayanan
bahan fresh konsisten enak packing rapi cantik response ramah cepat nggak kecewa highly recommended,5,pelayanan
enaaakk,5,rasa
repeat orderseller responsif order 1530 langsung proses maghrib dah rumahtks seller,5,pengiriman
puas seller responsifsalad buah nya mevvahtks seller,5,pelayanan
puas sm salad buah seller responsif price reasonable buah2nya fresh cheese n dressing nya ga pelit top pokok,5,kualitas
kismis enak bngt kali order lg terima kasih kirim cepat,5,rasa
bagus  cepat recomended seller ,5,pelayanan
tdk slh pilih - recommended fast respons produk sesuai deskripsi the best full hitam  moist  bsr best packing free box  bubble wrap aman kirim brasa same day bayar gratis 100 thx gan,5,pelayanan
sesuai sana proses dikit produk bagus enak bgt ga kering wangi,5,kualitas
kismis bagus respon cepat,5,kualitas
lumayan enak kismis nya kaya bau2 karet nya ya,4,rasa
bagus moga kwalitas utama biar langgan,5,kualitas
bagus,5,kualitas
sdh sekian kali belanja mari top deh pokok moga daerah kelapa gading aman dr banjir,5,kualitas
rnak ga manis keju buanyak kirim cepet,5,rasa
dah kali order ga kecewa dah mantul,5,kualitas
salad buah nya enak,5,rasa
buah segar semuarasa enakbakal repeat order,5,rasa
saus mantep gak pelit buah jg segar macem2 definitely not going to be the last purchase ,5,kualitas
respo cepat buah fresh,5,pelayanan
terimakasih ya saladnya enak sdh repeat order ,5,rasa
poko layan cakeep banget deeh langgan,5,pelayanan
enak banget puas,5,rasa
egk ragu,5,rasa
selaluuuuu enakfreshnagih,5,rasa
re order lg  ,5,kualitas
neng banget kasih bonus asin free ,5,pelayanan
enaakk,5,rasa
enakcepat sampaisesuai foto,5,rasa
enak udah keburu abis ng sempet foto,5,rasa
yg sdh uji sdh kali beli gak berubahnano thanks seller,5,rasa
asin terfav,5,rasa
mantapp,5,kualitas
terima kasih produk service mantap - biar bintang yg bicara,5,pelayanan
enaakkkk,5,rasa
mantaab rasanyaa ,5,rasa
segerrrrrpenjualnya ramah next order,5,pelayanan
kualitas oke kirim cepat mantap,5,kualitas
wajib d cobaiiiin enakkk bingitz,5,rasa
enak garuda langgan dr taon,5,rasa
alhamdulillah ngidamnya sampean jg bnr parah asin enk bgtseuugeeeeernya mng bkn mata meleknch br prtm kl rasain asin enknya ky gn ntuk air asemnya mng bkn dr cukaasinannya msh freshpemgiriman sgt cpt penjul ramah pokok top markotop dch dgn layanannnyabs jd langgan nch pas lg kpgn makan yg segerthx y agan smg dagang sll laris manis sukses trs ,5,rasa
mantap asli bikin merem melek ,5,rasa
kirim cepat tks mah ga d raguinajib n tks semuany freshtks,5,pelayanan
packing rapi cepet jual responsif ramah asin nya maknyus,5,pelayanan
enak,5,rasa
maknyus,5,rasa
bikin tagih,5,rasa
manis mantab durian kirim cepattq,5,rasa
enak manis durianya mantab,5,rasa
paket terima tp blum coba krn utk jual insha allah enak ya,5,pengiriman
sesuai pesan kirim cepat pake grab sich btw good seller and thanks tokped,5,pelayanan
mantab berasaaa durian medan nya,5,rasa
bagus manis asa bngt durian asli tq,5,rasa
enakkkkkks syekali makas seller makas jga abang kurir,5,rasa
mantap enak saladnya tq,5,rasa
mkshhh kak moga lancar manfaat barokah selaluuuuuu aamiin,5,pelayanan
alhamdulillah udah sampe selamat paket mkshhh bnyk ya kak utk bonus nya masya allah moga allah usaha lancarrrr barokah selaluuuuuu aamiin ,5,pelayanan
pesan sekian kali loohsoal jgn tanyapokoknya mantul makas seller yg ramahkapan2 insya allah order lagi,5,rasa
always the best alhamdulillah mkshhh selaluuuuuu kak barakallah,5,pelayanan
asam buah ukur jujur makan ka krna asam anak jg ga suka sukamakasih ya ka udh tanggung ganti yg barusemoga berkah rubah review nya,5,rasa
mkshhh yaaaa kak udh sampe paket muas,5,pelayanan
mkshhh yaaaa kak packing nya aman,5,pengiriman
beli ke-4,5,kualitas
packingan rapi,5,pengiriman
beli yg puas epak rapi pakai bublewarp stiker fragile barang khasiat bagus kadarluarsanya jual fast respon makasih gan ,5,pelayanan
mantap barang asli khasiat bagus langsung epak rapi tulis fragille pakai bubblewarp kadarluarsanya jual fast respon makasih ya next order lg ,5,pelayanan
sesuai pesan cepet nyampe packing rapi  ditambahin bublewrap murah yg recomended,5,pengiriman
sesuai ekspektasi moga jd sehat ,5,kualitas
kirim cepatpackingnya aman  rapiproduk kemas makasih seller,5,pengiriman
harga bagus barang bagus kirim cepat,5,pengiriman
packing amanmurah cepat,5,pengiriman
alhamdulillah coba barang bagus sesuai detail tera deskripsi produk respon jual kirim cepat overall puas layan jual muslim moga allah berkah usaha,5,pelayanan
selamat mual muntah ku,5,rasa
kuat heran rasanyamaaf ekspektasi,4,rasa
fast respon good seller good product,5,pelayanan
kirim cepat produk ok,5,pengiriman
busyet dah asiin bangatrasnya ngangenin bikin hausscocok makan buka warung makan,5,rasa
enakkkkk coyyyyyyy,5,rasa
enak,5,rasa
enak euy,5,rasa
fav sih snack dr,4,rasa
asin,3,rasa
respon seller cepat produk sesuai foto deskripsi terimakasih sukses,5,pelayanan
pait ya kyk udah gk segar pdhl kondisi rmh dingin sdh,4,rasa
enak,5,rasa
enak durian cupnyabener2 dr durian medanthx ya gansukses,5,rasa
enak respon cepat,5,rasa
kirim cepat durian enak manis respon seller cepat recomended dech,5,pengiriman
kirain dr foto ukur ternyatahehe tp laahhhpuas,4,rasa
respon cepat ok banget real durian asli next order,5,pelayanan
isi penuhtapi ok,4,rasa
barang sesuai gambar deskripsi ,5,kualitas
barang proses kirim cepat kemas rapi terima kasih sayurbox,5,pengiriman
sayur fresh layan lumayan cepat,5,kualitas
produk cepat memuaskanthanks banget seller,5,pelayanan
nanas gak kirim ga diinfoin refund tokped tau2 pesan udh selesai otomatis,1,pelayanan
segarrrr ,5,kualitas
nanas manis bangetcuttingnya rapi suka banget  puas banget ,5,rasa
kirim cepat barang oke,5,pengiriman
mantap,5,kualitas
bersih biji,5,kualitas
pesan proses cepat kirim oke cepat sesuai deskripsi langsung santap,5,pelayanan
kangen,5,rasa
pokok puas ,5,pelayanan
respon nya cepat barang cepat sampe tq ya,5,pelayanan
proses kirim yg cepat sesuai dgn deskripsi,5,pengiriman
enak ,5,rasa
enak tambah kacang tanah goreng sambal ekstra kemas kirim express aja paket terimakasih seller ,5,pelayanan
mantap ,5,kualitas
cepat  cocok lidah,5,pengiriman
sesuai pesan respon seller kirim cepat terimakasih,5,pelayanan
maknyusss,5,rasa
cabe ngga mgk ketinggalanshg yg makan sendirimereka ngga cabe ngga makanbagaimana ngga puasa habisin 5 porsimakasih ya,5,pelayanan
mantap fresh,5,kualitas
enak porsi mini hehe,5,rasa
mantap fresh buah,5,kualitas
respon jual kirim cepat,5,pelayanan
dah ga hitung brp kali repeat order ,5,rasa
enaaaakkkk bingitzzzzz,5,rasa
brp puluh kali beli  jd member alias langgan,5,rasa
enakbuahnya fresh seger packingan bersih aman bgt kirim cepat seller ramah makasih,5,kualitas
mohon maaf lupa foto saking enak udah abis duluan inget foto review asin kuah putih beda sih enakk banget,5,rasa
mantap asli bikin merem melek ,5,rasa
kirim cepat tks mah ga d raguinajib n tks semuany freshtks,5,pengiriman
enak segeer,5,kualitas
asin nya enak bgt kirim cepat,5,rasa
kirim cepat asin enak thx,5,pengiriman
pas sesuai selera ,5,rasa
re order yg sekian kali maaf gak sempet foto buru2 dimasukin kulkas takut khilaf puasa ,5,rasa
seger and fres bngt  makasihhhhh,5,kualitas
oktuanks seller,5,pelayanan
mantap ,5,kualitas
puas deh sampe gak sempet masuk kulkas langsung makan ,5,rasa
kecewa note sesuai ,3,pelayanan
biar tangan yg bicara mantul saladnya,5,rasa
udah kali kli bli enak muas langgan,5,pelayanan
enak ,5,rasa
barang kemas rapi,5,pelayanan
oke banget beli asin sampe gojek nya bingung beli asin banget enak pas banget ,5,rasa
segeer banget sedeep,5,kualitas
beli sekian kali suka ,5,rasa
seger makan siang2 cm mangga adem bgt makasih,5,kualitas
mantab  terima kasih,5,rasa
bintang bicara ,5,pelayanan
biar bintang yg bicara yaterima kasih,5,pelayanan
pas mantab makasih yah,5,rasa
maaf ya cocok dg saus buah nya fresh air,3,rasa
sukakkk  sellernya helpful bgt  repeat order soon ,5,rasa
buah segar enak seller respon bagus recomended,5,kualitas
gak ragu udah beli yg sekian kali pokokya sehat sukses y sis,5,rasa
udah langgan 6x sen via toped wa premium enak keep up the good quality sis,5,rasa
transaksi berkali2 puas,5,pelayanan
sesuai pesan terimakasih,5,kualitas
barang terima packing aman terima kasih,5,pengiriman
suka sy kirim cepat packing nya rapi trimakasih ya,5,pengiriman
sesuai pesan barang,4,pelayanan
mantap ,5,kualitas
garing mnggany enakbkl psn,5,rasa
enak seger bgt mangga asem renyah pas ngidam,5,kualitas
enak repeat order,5,rasa
enak banget krenyes2 buah super segar kali mesti beli,5,kualitas
repeat order buah mangga bagus sesuai pesan packing rapi ikat erat terima kasih ,5,pelayanan
enak banget,5,rasa
mina kasih buah  packing bagus buah bagus ,5,kualitas
enak bgt pesan yg sekian kali,5,rasa
enak banget dongterasinya sukak langsung repeat order stock,5,rasa
baraang ny bagus kirim cepeett bangeett jooss toko bonuus nya,5,kualitas
mantap,5,rasa
recomended seller,5,pelayanan
lapak fast responpacking rapibarang darat amanmantab pokok,5,pelayanan
mantap barang bagus rekomendasi,5,kualitas
barang mantap lebih recomended,5,kualitas
barang mantap kualitas sukses pokok,5,kualitas
recomended mantap,5,pelayanan
barang oke,5,kualitas
recomended seller,5,pelayanan
barang kualitas respon seller cepat,5,kualitas
enak pas dapet harga diskon sering promo yaa ,5,rasa
bsrang sesuai pesan,5,kualitas
brg ok enak thanks,5,kualitas
jual ramah packing nya aman kota,5,pelayanan
mantab beli kali kecewa,5,pelayanan
kirim cepat enakkkk suka,5,pengiriman
enak segar,5,kualitas
nya wangi manistidak sesuai iklan,1,rasa
mantabbbb packing bagus,5,pengiriman
oke  biji duren yg dalem plastik,5,rasa
uenakkk langgan nih,5,rasa
barang bagus packing rapih kirim cepat recommended seller,5,pelayanan
manis mantul mksh,5,rasa
joss udh sampe sen ga sampe 1 jam moga joss jg,5,pengiriman
ga kecewa dgn durian durian manis2 thx ya,5,rasa
mantap manis,5,rasa
mantap,5,rasa
mantappp,5,rasa
enak,5,rasa
suka bollen kartika enak,5,rasa
sesuai kirim item yg order,5,pelayanan
barang besok expired,1,pengiriman
uda sen hr sabtu tp kirim ampe jam 11 senin kirim sore tuju selasa siang,3,pengiriman
makan suka 2x beli toped packing rapi  aman,5,rasa
gede puas,5,pelayanan
sy enak tgl 8 2 pesan 9 2 bayar 10 2 siang udah sampe mantep dah cm dus penyok tp enak mksh kartika sari,5,rasa
beli ke-4,5,rasa
packingan rapi,5,pengiriman
beli yg puas epak rapi pakai bublewarp stiker fragile barang khasiat bagus kadarluarsanya jual fast respon makasih gan ,5,pelayanan
mantap barang asli khasiat bagus langsung epak rapi tulis fragille pakai bubblewarp kadarluarsanya jual fast respon makasih ya next order lg ,5,kualitas
sesuai pesan cepet nyampe packing rapi  ditambahin bublewrap murah yg recomended,5,pengiriman
sesuai ekspektasi moga jd sehat ,5,kualitas
kirim cepatpackingnya aman  rapiproduk kemas makasih seller,5,pengiriman
harga bagus barang bagus kirim cepat,5,kualitas
packing amanmurah cepat,5,pengiriman
kirim cepat pia enakk,5,pengiriman
seller responsive ,5,pelayanan
suka banget pia tagih,5,rasa
seller gercep enak pia nya uda beli  suksesterus,5,pelayanan
uenak,5,rasa
barang sesuai tks,5,pelayanan
mantap,5,kualitas
good productgood seller  thankyouu ,5,kualitas
good seller good product ,5,pelayanan
good product good seller  thankyouu kak,5,pelayanan
