Review,Sentiment,Aspek
kali sen tumpeng puas bgt dtg enak bgt owner bgt sukses yaa,POSITIF,pelayanan
kirim cepatproduk sesuai deskripsi,POSITIF,pelayanan
sesuai kirim,POSITIF,pelayanan
wort it,POSITIF,pelayanan
produk sesuai pesan kemas rapi kirim cepat respon seller cepat,POSITIF,pelayanan
g sayur bosyg ok,POSITIF,kualitas
terima kasih ayam afrika-nya da best seller responsif,POSITIF,rasa
kirim,POSITIF,pelayanan
ayam afrika-nya enak juicy iklan yg suka potong besar2 potong paha paha paha utuh yg anak sy yg balita suka nagih terima kasih sukses yaa,POSITIF,rasa
ntah udah sen kali ketagihaaannn enak bgttttt sihhh,POSITIF,rasa
daging lebut bumbu yummy,POSITIF,rasa
ayam enaaak empuk bumbu resap banget potong saosnya generous banget pisang manis dessert pisang karbohidrat ganti nasi hehehe packagingnya cantik beli family pack melanin pakai neng deh ga buang sampah plastik terima kasih ya paris jakarta,POSITIF,rasa
cepet jg kirim malam pesan besok sore udh smp jd bs buka puasa ayam sambelnya mantap,POSITIF,pelayanan
ayam empuk wangi saus enak bamget yg saus ijo,POSITIF,rasa
barang cepat,POSITIF,pelayanan
barang dr seller ok cuman ekspedisi dr free ongkir anteraja kecewa sen hrs jauh2 harap cepat minggu nyampe estemasinya,POSITIF,pelayanan
produk sesuai deskripsi recommended seller,POSITIF,pelayanan
udah order ratus kayak wkkwkw harap hadiah motor sellernya,POSITIF,rasa
langgananan,POSITIF,rasa
order barang bagus layan cepat,POSITIF,pelayanan
cepat isi oke,POSITIF,pelayanan
produk sesuai deskripsi recommended seller,POSITIF,pelayanan
ga tulis exp nya bingung,POSITIF,kualitas
ikan bnyk yg gosong kotor ya,POSITIF,kualitas
mantap deh pokok beli,POSITIF,pelayanan
gurih ikan,POSITIF,rasa
recommended deh pokok,POSITIF,rasa
recommended seller pokok makasih ya  biar bintang yg bicara,POSITIF,rasa
enak bgt tekstur keras utk anak usia 1,POSITIF,rasa
lumayan,POSITIF,rasa
ketagihanenakkk,POSITIF,rasa
packing cepat aman rapi barang dg selamat kualitas ok,POSITIF,pelayanan
kirim cepatproduk sesuai deskripsi,POSITIF,pelayanan
sesuai kirim,POSITIF,pelayanan
produk sesuai pesan kemas rapi kirim cepat respon seller cepat,POSITIF,pelayanan
isi lengkap sesuai harga tera enak moga coba sesuai selera,POSITIF,pelayanan
rumah basi,NEGATIF,kualitas
bandeng udah adem pantesan lendir pas buka,NEGATIF,kualitas
packingan oke praktis udh tinggal masak seller oke,POSITIF,pelayanan
cepat  packing aman  isi sesuai  terima kasih,POSITIF,pelayanan
makan seh suka sambelnya teenyata instant sambel terasi merk uleg finna dah gitu ekspedisi banget belanja pagi sore esok,POSITIF,rasa
sesuai deskripsibelum dicobaintks,POSITIF,kualitas
pengirimanny cepet bgt thanks seller coba klo enak beli,POSITIF,pelayanan
mantaap rasanyaa,POSITIF,rasa
layan kirim slalu cepat terima kasih,POSITIF,pelayanan
konsisten,POSITIF,rasa
cepet banget sampe nya thx udah fast response ya kangen makan semenjak pindah dr surabaya btw minyak nya abis tumpah2 kirim sptnya next time rapet packaging nya,POSITIF,pelayanan
packing rapi produk original mantabss,POSITIF,pelayanan
suka rasany,POSITIF,rasa
enak bgt bos solusi darurat sahur,POSITIF,rasa
mantap cepat packing aman,POSITIF,pelayanan
emas aman rapi sumatra dtrima dg baikrekomended,POSITIF,pelayanan
kirim cpt bgt mantapp,POSITIF,pelayanan
respon cepat otaji enak ga minyak,POSITIF,rasa
mantul,POSITIF,rasa
pesanan2 muas tq,POSITIF,rasa
paket cepet banget kemas rapi imut kotak moga enak biar sen sukses toko ya,POSITIF,pelayanan
teri nya gurih,POSITIF,rasa
enak sekalipada kirim tdk terima tdk kirim,POSITIF,rasa
teri kacang balado udah terima dg,POSITIF,kualitas
enak manis pedas teri dibanyakin,POSITIF,rasa
sesuai pesan moga2 gak pedas,POSITIF,pelayanan
terimakasih seller fast responnya,POSITIF,pelayanan
jujur gamau ngasih bintang jelek kirim ga bilang kalo barang kosong tiba2 sampe kasih tulis bakso cuanki kosong oke sy makluminterus admin bilang kirim jumat oke sy tunggu udah minggu ga kabar tanyain kirim esok eh bener aja sampe ga kirim bener udah bilang bakso cuanki nya ambil aja mba makan aja,NEGATIF,pelayanan
barang pesan terima bungkus rapi sesuai pesan terima kasih,POSITIF,pelayanan
sih ngirimnya,POSITIF,pelayanan
terima kasih pesan terima,POSITIF,pelayanan
enakkknamanya po jd,POSITIF,rasa
b aja bakso cuangki juara lebak bulus,POSITIF,rasa
respon jual cepat harga pas packing aman rapih cuankie enak,POSITIF,pelayanan
enak,POSITIF,rasa
respon cepat kirim cepat biar bintang yg berbicaratq bosque,POSITIF,pelayanan
enk bakso layan nya mantul n sdh belanja yg 3 x tinggal nunggu bns tmbhan ni klk belanja lgwkwkwkw,POSITIF,rasa
order layan kirim produk,POSITIF,pelayanan
it s all good keep up the good job,POSITIF,pelayanan
enak,POSITIF,rasa
enak,POSITIF,rasa
product sesuai packing kirim,POSITIF,pelayanan
langgan tau kwalitas,POSITIF,kualitas
udah langgan d bakso enak kirim jg cepat,POSITIF,rasa
makananya enak,POSITIF,rasa
lezzattoooo,POSITIF,rasa
suka bgt fast response kirimanya yg express pizza jg enakk,POSITIF,pelayanan
enaaakk pesan bayar jelang jam9 jam11 pesan jarak 11km,POSITIF,rasa
direspon cepat terima  pizza nya wangi cocok tasty  campur cheese  roti imbang,POSITIF,pelayanan
enak pake banget,POSITIF,rasa
enak banget cheesenya tiramisu nya jg enak very very delicious,POSITIF,rasa
salah kirim ya lgs susul pizza double terima kasih  ya pizza nya enak,POSITIF,rasa
enak banget,POSITIF,rasa
enak bgt,POSITIF,rasa
pesan terima sesuai deskripsi terima kasih ya moga sukses aamiin,POSITIF,pelayanan
respon cpt yg kirimsukak,POSITIF,pelayanan
pesan terima sesuai deskripsi terima kasih ya moga sukses aamiin,POSITIF,pelayanan
makan pake salad sayur enak,POSITIF,rasa
pesan terima sesuai deskripsienak terima kasih ya moga sukses aamiin,POSITIF,pelayanan
enak banget,POSITIF,rasa
terima nya kurangbagus,POSITIF,kualitas
salmon mentai momomaru emang pas mentainya enak pas ga bikin eneg,POSITIF,rasa
puas udah repeat order gatau brp kali puedes sambelnya jos kulit bener2 tipis the best,POSITIF,rasa
jujur enak beli ngga pinpoint lumayan dr segi sambal yg lumayan nendang pedas,POSITIF,rasa
enak coipan n sambal mantap,POSITIF,rasa
coipannya enak next order lg,POSITIF,rasa
enak beneran enak banget kulit tipis bawang putih sambelnya pedes mantapp,POSITIF,rasa
recommended product one of the best choipans pesan online seller ramah komunikatif,POSITIF,rasa
kirim cepat jual ramah  komunikatif kulit choipannya tipis sambal mantap gak pelit,POSITIF,pelayanan
mantap choipan ny enakk,POSITIF,rasa
enak krenyes2 sambal mantap,POSITIF,rasa
enak bangettttt kulit tipis isi  cucok buka puasa akuu hihihih thankyou sis,POSITIF,rasa
kirim cepet hati lom coba sih,POSITIF,pelayanan
enaaak,POSITIF,rasa
saladnya segar enak admin fast response salah kirim  puas beli salad,POSITIF,pelayanan
enak cm kali kentang rada keras,POSITIF,rasa
enak kirim cepat,POSITIF,rasa
enakkkkk,POSITIF,rasa
enak banget,POSITIF,rasa
enak,POSITIF,rasa
enaaakkk,POSITIF,rasa
cepat banget pesan menit yg flash sale eh udah,POSITIF,pelayanan
enaak fresh,POSITIF,kualitas
enaak,POSITIF,rasa
beli 2 kalinyarecommended salad rollrecommended seller,POSITIF,kualitas
suka rasany,POSITIF,rasa
kirim cepet banget estimasi 2 jam ga jam udah sampe fresh,POSITIF,pelayanan
saladnya segar porsi toppingnya enak,POSITIF,kualitas
uuweeennaaakkk,POSITIF,rasa
saladnya cantik rnak mesan cepat direspon cepat utk uk sameday langgan,POSITIF,rasa
fresh  kasih bonus tomat ceri terima kasih,POSITIF,kualitas
salad sayur murah 50rbu dpet 3 isi cuman sayur topping kn bsa bebas nambahin sndiri pke iris ikan tuna daging dll saosnya enak,POSITIF,rasa
saladnya mantap,POSITIF,rasa
fast responbrg freshpuas blnj d dpt bonus tomat kali inisukses gan,POSITIF,pelayanan
ya ampuuun enak banget sayur fresh cepat kirim harga sahabat bonus lagibakal langgan nih,POSITIF,rasa
fast respond n delivery tks utk free saladnya,POSITIF,pelayanan
siang order sore langsung,POSITIF,pelayanan
enakkkkk  udah habis order ah,POSITIF,rasa
pas,POSITIF,rasa
dah beli wkwkwkuntuk bikin kimchee jigae gado yummmm,POSITIF,rasa
kimchi nya enak,POSITIF,rasa
langgan,POSITIF,kualitas
sesuai kirim cepat,POSITIF,pelayanan
sy sangt puas dg psanan kimchi nya  sangt enak  mantap kemas bagus rapi dn dtg wkt kurir nya sopan,POSITIF,pelayanan
packing rapih produk ok,POSITIF,pelayanan
barang sdh terima terima kasih,POSITIF,pelayanan
layan bagus,POSITIF,pelayanan
kimchinya wangi banget pesan besok langsung langsung buka icip sesuai request  jual ramah tingkat pedas asam kimchi nya packing super rapi double bubble wrap thanks sist,POSITIF,rasa
kimchi nya ok banget thanks gan,POSITIF,rasa
kimchi nya enak banget harga gin dpt worth it kimchi juicenya cocok nasi goreng kimchi jiggae so yummyyyyy repeat order deh kalo uda abis,POSITIF,rasa
mantul beli 2 mantap packingnya kaga bocor moga jualanya laris manis,POSITIF,pelayanan
kimchinya enak,POSITIF,rasa
dah 2x order kimchi nya enakharga nya lumayan murah thanks,POSITIF,rasa
seller ramah kimchi nya enakkk sesuai request repeat order yg sekian kali ttp ga bosen enak kimchi yg percaya deh ga nyesel beli kimchi id,POSITIF,rasa
taste is good,POSITIF,rasa
packing rapi bgt udah cium bau2nya blm buka makasih seller,POSITIF,rasa
enak n segar,POSITIF,rasa
fresh berat pas banget buka puasa,POSITIF,kualitas
respon cepat sesuai pesan,POSITIF,pelayanan
enak  suka saladnya makasih yaa,POSITIF,rasa
enk,POSITIF,rasa
enaknyaaa,POSITIF,rasa
enak bangeeeet,POSITIF,rasa
enak bgt fresh,POSITIF,rasa
cuman 1harang dtg,POSITIF,pelayanan
kimchi nya nya enak bangetterutama yg lobak nyapkknya emang beda kirim jg cepat banget nyapengemasan jg rapih amandi pakein toples,POSITIF,rasa
enyakkkk,POSITIF,rasa
kimchinya sdh fresh,POSITIF,kualitas
sesuai deskripsi manis,POSITIF,rasa
manisbeda kimchi korea,NEGATIF,rasa
kimchinya asam pedas,POSITIF,rasa
mantab,POSITIF,kualitas
nya muas gurih pedas kilas manis tinggal asam nya sengaja beli fresh atur kadar asam nya enak sayur segar crunchy beli kimchi sehat banget makan probiotik alami,POSITIF,rasa
enak,POSITIF,rasa
kirim cepat pake instant no drama buka aroma kayak basi gitu pas makan aja sih order kali konsisten,POSITIF,pelayanan
enak saladnya  kirim cepat rapi bungkus,POSITIF,pelayanan
saladnya enak dressingnya suka,POSITIF,rasa
coba beli promo enak kenyang potong salad wrap kulit tortilla beneran bikin kenyang isi padat kaya tekstur buka puasa cocok banget dressing-nya honey mustard dominan asam prefer manis sih kemas dressing sauce lapis plastik ngga tumpah,POSITIF,rasa
enak,POSITIF,rasa
sdh beli yg 3 kalienakbahannyasegarpenampilan cantik,POSITIF,rasa
fast response cantik bgt tampil enak bli d,POSITIF,rasa
terima kasih bu emas rapi kirim cepat layan muas mantappp -,POSITIF,pelayanan
favorit banget ukur makan ga udah beli kalo flash sale hehe terima kasih serasa diskon ya hehee,POSITIF,rasa
langgan tq kakak seller,POSITIF,kualitas
udah beli 2 kali mantappp enakk,POSITIF,rasa
enak bgt gaboong trus taste nya ramah lidah orang indo tp kyanya fermentasi klamaan jd sensasi lidah gtu overall kimchi enak si,POSITIF,rasa
respon cepat kimchinya enaaak,POSITIF,pelayanan
enak banget sdh ky makan resto korea,POSITIF,rasa
enak bangetttt cepet ntaps,POSITIF,rasa
enak the best kimchinya,POSITIF,rasa
nyoba kimchinya enak seger banget asemnya pas temen makan ramyeon,POSITIF,rasa
kimchi pa salah favorit varian timun  sawi udah kali order  enak makan dgn jajang ramyeon bbq,POSITIF,rasa
enakbakal langgan teus,POSITIF,rasa
sukaa bgt udah kali pesan ga kecewa  sayang mesan kena zonk jasa kirim barang jalan,POSITIF,rasa
sellernya ramah kooperatif salah pilih kirim barang bagus ganti barang bayar ongkir thank you,POSITIF,pelayanan
bumbu manis kimchi bumbu bgt,NEGATIF,rasa
enak sekaliii,POSITIF,rasa
kimchinya enakkkk banget kyk yg korean food resto fresh,POSITIF,rasa
kimchi enak kali cobain varian bawang fresh banget manis coba simpen 2-3 biar fermentasi dl hehe,POSITIF,rasa
enak renyah fresh,POSITIF,rasa
kirim cepat seller responsif,POSITIF,pelayanan
enaak fresh,POSITIF,rasa
enaak,POSITIF,rasa
beli 2 kalinyarecommended salad rollrecommended seller,POSITIF,kualitas
suka rasany,POSITIF,rasa
kirim cepet banget estimasi 2 jam ga jam udah sampe fresh,POSITIF,pelayanan
saladnya segar,POSITIF,kualitas
uuweeennaaakkk,POSITIF,rasa
saladnya cantik rnak mesan cepat direspon cepat utk uk sameday langgan,POSITIF,pelayanan
blm makan kimchi asli korea yg ramah lidah d kirim cepat,POSITIF,rasa
anak bs makan krn tdk asam pedas,POSITIF,rasa
seller fast response ramah kimchi nya enak banget fresh recommended seller,POSITIF,pelayanan
enaakkkk  langsung order jual responsif,POSITIF,rasa
dah langgan konsisten,POSITIF,rasa
yummyyy,POSITIF,rasa
mantab,POSITIF,rasa
mantap bintang 5,POSITIF,rasa
istri suka fresh tingkat asam atur sesuai selera,POSITIF,kualitas
good bbrp barang kering basah campur kantong hitam trus kantong hitam nya tipis,POSITIF,kualitas
barang rmh dingin2 mantul,POSITIF,kualitas
sellernya ajak gercep urgent exp thanks kak,POSITIF,pelayanan
cepet banget kirim sen siang sore uda sampe the best,POSITIF,pelayanan
proses cepatthx,POSITIF,pelayanan
maaf ksi tw  barang kmren smpai mantep barang cpet smpai lau gx cpet smpaitkut nya rusak  good bgt langsung older langsung proses,POSITIF,pelayanan
kirim cepat,POSITIF,pelayanan
lobak asin nya sesuai terimakasih sukses ya,POSITIF,rasa
produk bagus,POSITIF,kualitas
layan kakak god bless ya kak,POSITIF,pelayanan
kirim cepat,POSITIF,pelayanan
barang ok  servicenya expresstq,POSITIF,pelayanan
puas srkalimemang gak sampaitapi kemarin kasih ulasankurir ramah terima kasih toko,POSITIF,rasa
cepat mantappppp,POSITIF,pelayanan
cepat mantappppp,POSITIF,pelayanan
bagus harga terjangkaukurir ramah,POSITIF,kualitas
cepat mantappppp,POSITIF,pelayanan
freshh enak asam pas tp pahit,POSITIF,kualitas
packing nya rapih bgt sumpah  sayang dikit bgt muehehehehehe,POSITIF,pelayanan
enaaak banget  asem nya  pedesnyaa,POSITIF,rasa
proses kirim cepet ga pake lamaa kimchi nya enakkk loh rekomended mayan promo thanks,POSITIF,pelayanan
enak banget mantappp,POSITIF,rasa
respon cepat kemas rapi mantap coba klo cocok langgan beli nih,POSITIF,pelayanan
udh 3x beli koto kimchi kimchi enak yg beli seger bgt cabbage nya renyah bgt,POSITIF,rasa
barang sesuai pesan kirim cepat aman thanks seller,POSITIF,pelayanan
packagingnya pakai dus wrap rapih banget,POSITIF,pelayanan
enakk bgt,POSITIF,rasa
brg sesuai deskripsi kualitas bgs respon cepat n packaging rapi recommended,POSITIF,pelayanan
barang bagus proses cepat,POSITIF,kualitas
kimchinya enaak udah order enak huhuuuu,POSITIF,rasa
tasty,POSITIF,rasa
enak segar jual ramah makasih,POSITIF,rasa
repeat order suka kimchi nya asam pedas pas volume,POSITIF,rasa
kemas rapih biarpun bocor rembes,POSITIF,pelayanan
kirim yg sekian x cepat ya reseler jg okeh sayang yg kirim 3 bocor sesuai foto yg kirim so far okeh,POSITIF,pelayanan
asem cukapadahal sdh kulkas 7,POSITIF,rasa
kimchi ter fresh ku makan enak banget asa manis manissayang packagingnya karna ku 2 toples 400gr sampa rumah toplesnya gembung jd susah buka buka ledak karna jalan si kimchi guncang panas jd ku hilang bumbu lumayan banyakhehehe,POSITIF,kualitas
proses kirim cepat,POSITIF,pelayanan
beneran enak,POSITIF,rasa
kirim cepat produk oke terimakasih,POSITIF,pelayanan
enaaak bgt sayang 400gr dosis nyiahahha,POSITIF,rasa
order kali fresh kimchinya blm asem order mah,POSITIF,rasa
packagingnya aman plastik toples  karna ngembang jd susah banged buka toplesnya wkwkw  c kimchi enak,POSITIF,pelayanan
kimchi nya enak udah kali beli beli 700 gram dapetnya 662 gram udah kemas,NEGATIF,rasa
respon seller cepat beli 2 kali gak kecewa terima kasih,POSITIF,pelayanan
puas barang sesuai,POSITIF,kualitas
cepat packing aman produk mantap,POSITIF,pelayanan
produk bagus,POSITIF,kualitas
barang ok  servicenya super expresstq,POSITIF,pelayanan
packing rapih kirim cepatsemoga reordermakasih seller,POSITIF,pelayanan
kirim cepat,POSITIF,pelayanan
enak recommended sellertopnext order deh terimakasih,POSITIF,rasa
okeyyy,POSITIF,pelayanan
fast respone enak,POSITIF,pelayanan
mantab,POSITIF,kualitas
fast delivery good product,POSITIF,pelayanan
makan cepat dateng enak,POSITIF,pelayanan
barang sesuai deskripsi kirim cepat trims,POSITIF,pelayanan
ga cocok masakan korea cocok masakan jepang udah nyoba makan korea ga cocok kimchinya enak asam banget,POSITIF,rasa
pesan cepet sampaipacking nya rapih bgt,POSITIF,pelayanan
enakpengobat rindu blm korea makan kimchi homemade langgan,POSITIF,rasa
respon cepat mantap,POSITIF,pelayanan
pesan sdh terima sesuai thanks seller,POSITIF,pelayanan
sy terima nggak sy makan sdh 5 jalan takut sakit perut produk kota senin kamis email cs anteraja komplain tokopedia,POSITIF,pelayanan
barang sesuai deskripsi produk oke packaging rapih kirim cepat seller fast respons udh langgan recommended,POSITIF,pelayanan
enaaakkk,POSITIF,rasa
produk bagus  kirim cepatthank you,POSITIF,pelayanan
thanks,POSITIF,pelayanan
packing aman kardus trs dibubble wrap dalem wadah plastik utuh ngga yg retak hehe cm ngga bener2 nutup hehe saran mgkn isolasi lakban kimchinya bungkus plastik alhamdulillah ngga bolong ngga bocor hehe yaa kimchi seller fast respon udah berkali2 beli olshop overall puas mksh,POSITIF,pelayanan
kimchi fresh mantap,POSITIF,kualitas
mantafff,POSITIF,kualitas
kres kres enak,POSITIF,rasa
enak banget,POSITIF,rasa
pesan kimchi terima sesuai yg diorderpacking aman kirim cepatterima kasih,POSITIF,pelayanan
sukaaaaaaaaaaaaa,POSITIF,rasa
kirim super cepat sen pagi malam udh dtg tks dapursakinahku,POSITIF,pelayanan
kondisi barang terima rapi bagus kemas plastik tebal double bocor kuah tumpah basah kardusuntuk kirim kecewa sesuai maksimal tgl 14 maret 2021 terima konsumen kirim sicepat tgl 15 maret 2021 alas tgl 13 sabtu 14 minggu sicepat libur sabtu minggu hitung sistem kerja sunggung kecewa,NEGATIF,pelayanan
barang cepat,POSITIF,pelayanan
enakk tp pahit,POSITIF,rasa
suka pahit,POSITIF,rasa
lontong wangi daun padat lembut enak,POSITIF,rasa
lontong lembut enak makan pakainopor,POSITIF,rasa
pesan dadak opor sisa order cepat respons enak lontong lembut terima kasih,POSITIF,rasa
lomtongnya bagus enak fresh,POSITIF,kualitas
lontong sesuai pesan enak legit sesuai espektasi tahan yaa trimakasih seller,POSITIF,rasa
harga kompetitir enak,POSITIF,rasa
produk lontong lembut mantap,POSITIF,rasa
lontong yg benyek om ga jel ga padet,POSITIF,kualitas
fast response kirim sesuai sayang lontong ujung lembek hancur,POSITIF,kualitas
bagus oncom nya,POSITIF,kualitas
product sesuai tp oncom tebal paruh oncom,POSITIF,kualitas
good quality very fresh  affordable price  fast delivery on time  seller shop is very friendly and helpful  will definitely order again,POSITIF,kualitas
isi nya admin nya cepat tanggap bantu,POSITIF,pelayanan
puas beli disiniselalu enak kirim cepet,POSITIF,pelayanan
enak bgt mexican tuna salad nyaporsi nya pas cepat jg yg,POSITIF,pelayanan
enak saladnya,POSITIF,rasa
terima kasih bu emas rapi kirim cepat layan muas mantappp -,POSITIF,pelayanan
suka salad,POSITIF,rasa
kirim cepat enak,POSITIF,pelayanan
like the dressing however it was very little for the salad s portion,POSITIF,rasa
enaaakkdressingnya,POSITIF,rasa
toko amanah syg kurir anterajanya lambat banget ngirim paketanterajaanternya kapan2 aja,POSITIF,pelayanan
fast respon n delivery sdh langgan beli asin n ok bget,POSITIF,pelayanan
sesuai kirim cepat,POSITIF,pelayanan
enak  segar,POSITIF,rasa
yummmmyyyyyy so fresssshhhhhsdh repeat order,POSITIF,rasa
kirim asin nya enak banget,POSITIF,pelayanan
sdh beli n rasany mantulll,POSITIF,rasa
enak fresh ingredients pas padu mangga asam lengkeng manis,POSITIF,rasa
enakkkkkkkk,POSITIF,rasa
enakkkk n sdh repeat order berkali2,POSITIF,rasa
produk bagus original sesuai pesan packing rapih kirim cepat mantaap deeeh terima kasih banyaktokopedia  seller sukses yaa amiiin,POSITIF,pelayanan
thank u gan enak,POSITIF,rasa
cream nya bnykkulit jg tebalisi durian jd sdktpengiriman joooss,POSITIF,rasa
kirim cepat sayang gratis ongkir beli 2 mahal ongkir kirim,POSITIF,pelayanan
barang sdh cepat mantaf,POSITIF,pelayanan
mantappp cepat sampe 30menit mesan,POSITIF,pelayanan
jossss bngt sen jam 3 eeeeehhh jm 7 dah nympetq,POSITIF,pelayanan
buah segar enak,POSITIF,kualitas
enak bangetttt buah harga murah mayoinase nya enak puas,POSITIF,rasa
jual ramah,POSITIF,pelayanan
jual konsisten layan yg cepat ramah packing yg kuat sturdy yg cantik buah2an fresh suka pilih kewpie yogurt temu almond slices harga duh nggak bilang puas deh pokok lebih2 blueberrynya nggak kecewa so so highly recommended,POSITIF,pelayanan
bahan fresh konsisten enak packing rapi cantik response ramah cepat nggak kecewa highly recommended,POSITIF,pelayanan
enaaakk,POSITIF,rasa
repeat orderseller responsif order 1530 langsung proses maghrib dah rumahtks seller,POSITIF,pelayanan
puas seller responsifsalad buah nya mevvahtks seller,POSITIF,pelayanan
puas sm salad buah seller responsif price reasonable buah2nya fresh cheese n dressing nya ga pelit top pokok,POSITIF,kualitas
kismis enak bngt kali order lg terima kasih kirim cepat,POSITIF,rasa
bagus  cepat recomended seller,POSITIF,pelayanan
tdk slh pilih - recommended fast respons produk sesuai deskripsi the best full hitam  moist  bsr best packing free box  bubble wrap aman kirim brasa same day bayar gratis 100 thx gan,POSITIF,pelayanan
sesuai proses dikit produk bagus enak bgt ga kering wangi,POSITIF,kualitas
kismis bagus respon cepat,POSITIF,kualitas
lumayan enak kismis nya kaya bau2 karet nya ya,POSITIF,rasa
bagus moga kwalitas utama biar langgan,POSITIF,kualitas
bagus,POSITIF,kualitas
sdh sekian kali belanja mari top deh pokok moga daerah kelapa gading aman dr banjir,POSITIF,kualitas
rnak ga manis keju buanyak kirim cepet,POSITIF,rasa
dah kali order ga kecewa dah mantul,POSITIF,kualitas
salad buah nya enak,POSITIF,rasa
buah segar semuarasa enakbakal repeat order,POSITIF,rasa
saus mantep gak pelit buah jg segar macem2 definitely not going to be the last purchase,POSITIF,kualitas
respo cepat buah fresh,POSITIF,pelayanan
terimakasih ya saladnya enak sdh repeat order,POSITIF,rasa
poko layan cakeep banget deeh langgan,POSITIF,pelayanan
enak banget puas,POSITIF,rasa
egk ragu,POSITIF,rasa
selaluuuuu enakfreshnagih,POSITIF,rasa
re order lg,POSITIF,kualitas
neng banget kasih bonus asin free,POSITIF,pelayanan
enaakk,POSITIF,rasa
enakcepat sampaisesuai foto,POSITIF,rasa
enak udah keburu abis ng sempet foto,POSITIF,rasa
yg sdh uji sdh kali beli gak berubahnano thanks seller,POSITIF,rasa
asin terfav,POSITIF,rasa
mantapp,POSITIF,kualitas
terima kasih produk service mantap - biar bintang yg bicara,POSITIF,pelayanan
enaakkkk,POSITIF,rasa
mantaab rasanyaa,POSITIF,rasa
segerrrrrpenjualnya ramah next order,POSITIF,pelayanan
kualitas oke kirim cepat mantap,POSITIF,kualitas
wajib d cobaiiiin enakkk bingitz,POSITIF,rasa
enak garuda langgan dr taon,POSITIF,rasa
alhamdulillah ngidamnya sampean jg bnr parah asin enk bgtseuugeeeeernya mng bkn mata meleknch br prtm kl rasain asin enknya ky gn ntuk air asemnya mng bkn dr cukaasinannya msh freshpemgiriman sgt cpt penjul ramah pokok top markotop dch dgn layanannnyabs jd langgan nch pas lg kpgn makan yg segerthx y agan smg dagang sll laris manis sukses trs,POSITIF,rasa
mantap asli bikin merem melek,POSITIF,rasa
kirim cepat tks mah ga d raguinajib n tks semuany freshtks,POSITIF,pelayanan
packing rapi cepet jual responsif ramah asin nya maknyus,POSITIF,pelayanan
enak,POSITIF,rasa
maknyus,POSITIF,rasa
bikin tagih,POSITIF,rasa
manis mantab durian kirim cepattq,POSITIF,rasa
enak manis durianya mantab,POSITIF,rasa
paket terima tp blum coba krn utk jual insha allah enak ya,POSITIF,pelayanan
sesuai pesan kirim cepat pake grab sich btw good seller and thanks tokped,POSITIF,pelayanan
mantab berasaaa durian medan nya,POSITIF,rasa
bagus manis asa bngt durian asli tq,POSITIF,rasa
enakkkkkks syekali makas seller makas jga abang kurir,POSITIF,rasa
mantap enak saladnya tq,POSITIF,rasa
mkshhh kak moga lancar manfaat barokah selaluuuuuu aamiin,POSITIF,pelayanan
alhamdulillah udah sampe selamat paket mkshhh bnyk ya kak utk bonus nya masya allah moga allah usaha lancarrrr barokah selaluuuuuu aamiin,POSITIF,pelayanan
pesan sekian kali loohsoal jgn tanyapokoknya mantul makas seller yg ramahkapan2 insya allah order,POSITIF,rasa
always the best alhamdulillah mkshhh selaluuuuuu kak barakallah,POSITIF,pelayanan
asam buah ukur jujur makan ka krna asam anak jg ga suka sukamakasih ya ka udh tanggung ganti yg barusemoga berkah rubah review nya,POSITIF,rasa
mkshhh yaaaa kak udh sampe paket muas,POSITIF,pelayanan
mkshhh yaaaa kak packing nya aman,POSITIF,pelayanan
beli ke-4,POSITIF,kualitas
packingan rapi,POSITIF,pelayanan
beli yg puas epak rapi pakai bublewarp stiker fragile barang khasiat bagus kadarluarsanya jual fast respon makasih gan,POSITIF,pelayanan
mantap barang asli khasiat bagus langsung epak rapi tulis fragille pakai bubblewarp kadarluarsanya jual fast respon makasih ya next order lg,POSITIF,pelayanan
sesuai pesan cepet nyampe packing rapi  ditambahin bublewrap murah yg recomended,POSITIF,pelayanan
sesuai ekspektasi moga jd sehat,POSITIF,kualitas
kirim cepatpackingnya aman  rapiproduk kemas makasih seller,POSITIF,pelayanan
harga bagus barang bagus kirim cepat,POSITIF,pelayanan
packing amanmurah cepat,POSITIF,pelayanan
alhamdulillah coba barang bagus sesuai detail tera deskripsi produk respon jual kirim cepat overall puas layan jual muslim moga allah berkah usaha,POSITIF,pelayanan
selamat mual muntah ku,POSITIF,rasa
kuat heran rasanyamaaf ekspektasi,POSITIF,rasa
fast respon good seller good product,POSITIF,pelayanan
kirim cepat produk ok,POSITIF,pelayanan
busyet dah asiin bangatrasnya ngangenin bikin hausscocok makan buka warung makan,POSITIF,rasa
enakkkkk coyyyyyyy,POSITIF,rasa
enak,POSITIF,rasa
enak euy,POSITIF,rasa
fav sih snack dr,POSITIF,rasa
asin,POSITIF,rasa
respon seller cepat produk sesuai foto deskripsi terimakasih sukses,POSITIF,pelayanan
pait ya kyk udah gk segar pdhl kondisi rmh dingin sdh,POSITIF,rasa
enak,POSITIF,rasa
enak durian cupnyabener2 dr durian medanthx ya gansukses,POSITIF,rasa
enak respon cepat,POSITIF,rasa
kirim cepat durian enak manis respon seller cepat recomended dech,POSITIF,pelayanan
kirain dr foto ukur ternyatahehe tp laahhhpuas,POSITIF,rasa
respon cepat ok banget real durian asli next order,POSITIF,pelayanan
isi penuhtapi ok,POSITIF,rasa
